Label,Step id,Step time
2 ppn,1,135.17
2 ppn,2,2.12
2 ppn,3,1.41
2 ppn,4,1.53
2 ppn,5,1.52
2 ppn,6,1.44
2 ppn,7,1.73
2 ppn,8,1.42
2 ppn,9,1.83
2 ppn,10,1.93
2 ppn,11,1.44
2 ppn,12,1.41
2 ppn,13,1.4
2 ppn,14,1.38
2 ppn,15,1.44
2 ppn,16,1.66
2 ppn,17,1.66
2 ppn,18,1.42
2 ppn,19,1.59
2 ppn,20,1.45
2 ppn,21,1.42
2 ppn,22,1.41
2 ppn,23,1.84
2 ppn,24,1.41
2 ppn,25,1.45
2 ppn,26,1.73
2 ppn,27,1.79
2 ppn,28,1.89
2 ppn,29,1.68
2 ppn,30,1.46
2 ppn,31,1.81
2 ppn,32,1.41
2 ppn,33,1.64
2 ppn,34,1.49
2 ppn,35,1.46
2 ppn,36,1.63
2 ppn,37,1.58
2 ppn,38,1.4
2 ppn,39,1.39
2 ppn,40,1.54
2 ppn,41,1.55
2 ppn,42,1.42
2 ppn,43,1.47
2 ppn,44,1.64
2 ppn,45,1.44
2 ppn,46,1.42
2 ppn,47,1.4
2 ppn,48,1.46
2 ppn,49,1.4
2 ppn,50,1.42
