Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
8ppn-flush-end,1,107,1.99,1.73,0.26
8ppn-flush-end,1,108,1.98,1.72,0.26
8ppn-flush-end,1,109,1.99,1.73,0.26
8ppn-flush-end,1,110,1.99,1.73,0.26
8ppn-flush-end,1,111,1.98,1.72,0.26
8ppn-flush-end,1,112,2.0,1.74,0.26
8ppn-flush-end,1,113,1.98,1.72,0.26
8ppn-flush-end,1,114,1.99,1.73,0.26
8ppn-flush-end,1,115,1.99,1.73,0.26
8ppn-flush-end,1,116,1.99,1.73,0.26
8ppn-flush-end,1,117,1.99,1.73,0.26
8ppn-flush-end,1,118,1.99,1.73,0.26
8ppn-flush-end,1,119,2.0,1.74,0.26
8ppn-flush-end,1,120,2.0,1.74,0.26
8ppn-flush-end,1,121,2.0,1.73,0.27
8ppn-flush-end,1,122,2.0,1.73,0.27
8ppn-flush-end,1,123,1.99,1.73,0.26
8ppn-flush-end,1,124,2.09,1.8,0.29
8ppn-flush-end,1,125,1.98,1.72,0.26
8ppn-flush-end,1,126,1.99,1.72,0.27
8ppn-flush-end,1,127,1.99,1.72,0.27
8ppn-flush-end,1,128,3.13,1.79,1.34
8ppn-flush-end,1,129,2.01,1.75,0.26
8ppn-flush-end,1,130,2.43,1.73,0.7
8ppn-flush-end,1,131,1.99,1.73,0.26
8ppn-flush-end,1,132,1.98,1.72,0.26
8ppn-flush-end,1,133,,,0.26
8ppn-flush-end,2,1,2.56,1.87,0.69
8ppn-flush-end,2,2,2.09,1.81,0.28
8ppn-flush-end,2,3,2.04,1.76,0.28
8ppn-flush-end,2,4,2.03,1.76,0.27
8ppn-flush-end,2,5,2.04,1.77,0.27
8ppn-flush-end,2,6,2.05,1.77,0.28
8ppn-flush-end,2,7,2.04,1.76,0.28
8ppn-flush-end,2,8,2.01,1.73,0.28
8ppn-flush-end,2,9,2.11,1.83,0.28
8ppn-flush-end,2,10,2.05,1.73,0.32
8ppn-flush-end,2,11,2.11,1.82,0.29
8ppn-flush-end,2,12,2.05,1.77,0.28
8ppn-flush-end,2,13,2.04,1.76,0.28
8ppn-flush-end,2,14,2.04,1.76,0.28
8ppn-flush-end,2,15,2.02,1.74,0.28
8ppn-flush-end,2,16,2.1,1.82,0.28
8ppn-flush-end,2,17,2.02,1.74,0.28
8ppn-flush-end,2,18,2.04,1.76,0.28
8ppn-flush-end,2,19,2.05,1.77,0.28
8ppn-flush-end,2,20,2.03,1.75,0.28
8ppn-flush-end,2,21,2.02,1.74,0.28
8ppn-flush-end,2,22,2.01,1.73,0.28
8ppn-flush-end,2,23,2.05,1.77,0.28
8ppn-flush-end,2,24,2.02,1.74,0.28
8ppn-flush-end,2,25,2.04,1.76,0.28
8ppn-flush-end,2,26,2.02,1.73,0.29
8ppn-flush-end,2,27,2.06,1.78,0.28
8ppn-flush-end,2,28,2.07,1.79,0.28
8ppn-flush-end,2,29,2.07,1.79,0.28
8ppn-flush-end,2,30,2.03,1.74,0.29
8ppn-flush-end,2,31,2.02,1.74,0.28
8ppn-flush-end,2,32,2.01,1.73,0.28
8ppn-flush-end,2,33,2.04,1.76,0.28
8ppn-flush-end,2,34,2.03,1.75,0.28
8ppn-flush-end,2,35,2.07,1.79,0.28
8ppn-flush-end,2,36,2.03,1.74,0.29
8ppn-flush-end,2,37,2.04,1.76,0.28
8ppn-flush-end,2,38,2.04,1.76,0.28
8ppn-flush-end,2,39,2.02,1.74,0.28
8ppn-flush-end,2,40,2.0,1.72,0.28
8ppn-flush-end,2,41,2.03,1.74,0.29
8ppn-flush-end,2,42,2.01,1.73,0.28
8ppn-flush-end,2,43,2.0,1.72,0.28
8ppn-flush-end,2,44,2.01,1.72,0.29
8ppn-flush-end,2,45,2.01,1.73,0.28
8ppn-flush-end,2,46,2.04,1.76,0.28
8ppn-flush-end,2,47,2.07,1.79,0.28
8ppn-flush-end,2,48,2.01,1.73,0.28
8ppn-flush-end,2,49,2.02,1.74,0.28
8ppn-flush-end,2,50,2.02,1.74,0.28
8ppn-flush-end,2,51,2.06,1.78,0.28
8ppn-flush-end,2,52,2.02,1.74,0.28
8ppn-flush-end,2,53,2.05,1.77,0.28
8ppn-flush-end,2,54,2.04,1.76,0.28
8ppn-flush-end,2,55,2.0,1.73,0.27
8ppn-flush-end,2,56,2.03,1.73,0.3
8ppn-flush-end,2,57,2.01,1.73,0.28
8ppn-flush-end,2,58,2.01,1.73,0.28
8ppn-flush-end,2,59,2.0,1.73,0.27
8ppn-flush-end,2,60,2.02,1.75,0.27
8ppn-flush-end,2,61,2.05,1.78,0.27
8ppn-flush-end,2,62,2.06,1.79,0.27
8ppn-flush-end,2,63,2.01,1.74,0.27
8ppn-flush-end,2,64,2.01,1.74,0.27
8ppn-flush-end,2,65,2.01,1.74,0.27
8ppn-flush-end,2,66,2.03,1.76,0.27
8ppn-flush-end,2,67,2.0,1.73,0.27
8ppn-flush-end,2,68,2.0,1.73,0.27
8ppn-flush-end,2,69,2.0,1.73,0.27
8ppn-flush-end,2,70,1.99,1.72,0.27
8ppn-flush-end,2,71,2.01,1.74,0.27
8ppn-flush-end,2,72,2.0,1.73,0.27
8ppn-flush-end,2,73,2.0,1.73,0.27
8ppn-flush-end,2,74,1.99,1.72,0.27
8ppn-flush-end,2,75,2.02,1.75,0.27
8ppn-flush-end,2,76,2.0,1.73,0.27
8ppn-flush-end,2,77,2.02,1.75,0.27
8ppn-flush-end,2,78,2.03,1.76,0.27
8ppn-flush-end,2,79,2.03,1.76,0.27
8ppn-flush-end,2,80,2.06,1.79,0.27
8ppn-flush-end,2,81,2.0,1.73,0.27
8ppn-flush-end,2,82,2.03,1.76,0.27
8ppn-flush-end,2,83,2.01,1.74,0.27
8ppn-flush-end,2,84,2.03,1.76,0.27
8ppn-flush-end,2,85,1.99,1.72,0.27
8ppn-flush-end,2,86,1.99,1.72,0.27
8ppn-flush-end,2,87,1.99,1.72,0.27
8ppn-flush-end,2,88,1.99,1.72,0.27
8ppn-flush-end,2,89,1.99,1.73,0.26
8ppn-flush-end,2,90,2.01,1.74,0.27
8ppn-flush-end,2,91,1.99,1.72,0.27
8ppn-flush-end,2,92,1.99,1.72,0.27
8ppn-flush-end,2,93,1.99,1.72,0.27
8ppn-flush-end,2,94,1.99,1.72,0.27
8ppn-flush-end,2,95,2.0,1.73,0.27
8ppn-flush-end,2,96,2.0,1.74,0.26
8ppn-flush-end,2,97,2.0,1.74,0.26
8ppn-flush-end,2,98,1.99,1.73,0.26
8ppn-flush-end,2,99,2.0,1.74,0.26
8ppn-flush-end,2,100,2.06,1.77,0.29
8ppn-flush-end,2,101,2.0,1.74,0.26
8ppn-flush-end,2,102,2.06,1.79,0.27
8ppn-flush-end,2,103,1.99,1.73,0.26
8ppn-flush-end,2,104,2.01,1.75,0.26
8ppn-flush-end,2,105,2.01,1.75,0.26
8ppn-flush-end,2,106,2.0,1.74,0.26
8ppn-flush-end,2,107,1.99,1.73,0.26
8ppn-flush-end,2,108,2.0,1.74,0.26
8ppn-flush-end,2,109,1.99,1.73,0.26
8ppn-flush-end,2,110,1.99,1.73,0.26
8ppn-flush-end,2,111,1.99,1.73,0.26
8ppn-flush-end,2,112,2.01,1.75,0.26
8ppn-flush-end,2,113,2.0,1.74,0.26
8ppn-flush-end,2,114,2.01,1.75,0.26
8ppn-flush-end,2,115,1.98,1.72,0.26
8ppn-flush-end,2,116,1.99,1.72,0.27
8ppn-flush-end,2,117,2.0,1.73,0.27
8ppn-flush-end,2,118,1.99,1.73,0.26
8ppn-flush-end,2,119,1.99,1.73,0.26
8ppn-flush-end,2,120,2.0,1.74,0.26
8ppn-flush-end,2,121,1.99,1.73,0.26
8ppn-flush-end,2,122,1.99,1.73,0.26
8ppn-flush-end,2,123,1.99,1.73,0.26
8ppn-flush-end,2,124,2.04,1.78,0.26
8ppn-flush-end,2,125,2.0,1.74,0.26
8ppn-flush-end,2,126,2.06,1.8,0.26
8ppn-flush-end,2,127,2.04,1.73,0.31
8ppn-flush-end,2,128,2.01,1.75,0.26
8ppn-flush-end,2,129,2.21,1.76,0.45
8ppn-flush-end,2,130,2.0,1.74,0.26
8ppn-flush-end,2,131,1.99,1.73,0.26
8ppn-flush-end,2,132,1.99,1.73,0.26
8ppn-flush-end,2,133,,,0.26
8ppn-flush-end,3,1,2.45,1.77,0.68
8ppn-flush-end,3,2,2.04,1.77,0.27
8ppn-flush-end,3,3,2.01,1.73,0.28
8ppn-flush-end,3,4,2.02,1.74,0.28
8ppn-flush-end,3,5,2.07,1.79,0.28
8ppn-flush-end,3,6,2.17,1.88,0.29
8ppn-flush-end,3,7,2.08,1.77,0.31
8ppn-flush-end,3,8,2.03,1.75,0.28
8ppn-flush-end,3,9,2.02,1.74,0.28
8ppn-flush-end,3,10,2.1,1.79,0.31
8ppn-flush-end,3,11,2.04,1.76,0.28
8ppn-flush-end,3,12,2.17,1.89,0.28
8ppn-flush-end,3,13,2.04,1.76,0.28
8ppn-flush-end,3,14,2.02,1.74,0.28
8ppn-flush-end,3,15,2.02,1.74,0.28
8ppn-flush-end,3,16,2.03,1.74,0.29
8ppn-flush-end,3,17,2.03,1.74,0.29
8ppn-flush-end,3,18,2.08,1.79,0.29
8ppn-flush-end,3,19,2.11,1.82,0.29
8ppn-flush-end,3,20,2.02,1.73,0.29
8ppn-flush-end,3,21,2.02,1.73,0.29
8ppn-flush-end,3,22,2.03,1.75,0.28
8ppn-flush-end,3,23,2.03,1.74,0.29
8ppn-flush-end,3,24,2.03,1.74,0.29
8ppn-flush-end,3,25,2.03,1.74,0.29
8ppn-flush-end,3,26,2.08,1.79,0.29
8ppn-flush-end,3,27,2.08,1.79,0.29
8ppn-flush-end,3,28,2.06,1.77,0.29
8ppn-flush-end,3,29,2.02,1.73,0.29
8ppn-flush-end,3,30,2.08,1.79,0.29
8ppn-flush-end,3,31,2.03,1.74,0.29
8ppn-flush-end,3,32,2.03,1.74,0.29
8ppn-flush-end,3,33,2.02,1.74,0.28
8ppn-flush-end,3,34,2.03,1.75,0.28
8ppn-flush-end,3,35,2.02,1.74,0.28
8ppn-flush-end,3,36,2.05,1.77,0.28
8ppn-flush-end,3,37,2.04,1.76,0.28
8ppn-flush-end,3,38,2.09,1.81,0.28
8ppn-flush-end,3,39,2.02,1.73,0.29
8ppn-flush-end,3,40,2.02,1.73,0.29
8ppn-flush-end,3,41,2.03,1.73,0.3
8ppn-flush-end,3,42,2.02,1.73,0.29
8ppn-flush-end,3,43,2.02,1.74,0.28
8ppn-flush-end,3,44,2.02,1.74,0.28
8ppn-flush-end,3,45,2.02,1.74,0.28
8ppn-flush-end,3,46,2.02,1.74,0.28
8ppn-flush-end,3,47,2.02,1.74,0.28
8ppn-flush-end,3,48,2.02,1.74,0.28
8ppn-flush-end,3,49,2.07,1.79,0.28
8ppn-flush-end,3,50,2.1,1.82,0.28
8ppn-flush-end,3,51,2.04,1.76,0.28
8ppn-flush-end,3,52,2.02,1.74,0.28
8ppn-flush-end,3,53,2.06,1.78,0.28
8ppn-flush-end,3,54,2.02,1.74,0.28
8ppn-flush-end,3,55,2.01,1.73,0.28
8ppn-flush-end,3,56,2.02,1.74,0.28
8ppn-flush-end,3,57,2.02,1.74,0.28
8ppn-flush-end,3,58,2.01,1.73,0.28
8ppn-flush-end,3,59,2.02,1.74,0.28
8ppn-flush-end,3,60,2.02,1.74,0.28
8ppn-flush-end,3,61,2.02,1.74,0.28
8ppn-flush-end,3,62,2.03,1.75,0.28
8ppn-flush-end,3,63,2.02,1.74,0.28
8ppn-flush-end,3,64,2.06,1.78,0.28
8ppn-flush-end,3,65,2.1,1.82,0.28
8ppn-flush-end,3,66,2.01,1.73,0.28
8ppn-flush-end,3,67,2.01,1.73,0.28
8ppn-flush-end,3,68,2.02,1.75,0.27
8ppn-flush-end,3,69,2.01,1.74,0.27
8ppn-flush-end,3,70,2.01,1.73,0.28
8ppn-flush-end,3,71,2.01,1.74,0.27
8ppn-flush-end,3,72,2.01,1.74,0.27
8ppn-flush-end,3,73,2.01,1.74,0.27
8ppn-flush-end,3,74,2.01,1.74,0.27
8ppn-flush-end,3,75,2.03,1.76,0.27
8ppn-flush-end,3,76,2.01,1.74,0.27
8ppn-flush-end,3,77,2.04,1.77,0.27
8ppn-flush-end,3,78,2.01,1.73,0.28
8ppn-flush-end,3,79,2.01,1.74,0.27
8ppn-flush-end,3,80,2.01,1.74,0.27
8ppn-flush-end,3,81,2.02,1.75,0.27
8ppn-flush-end,3,82,2.04,1.77,0.27
8ppn-flush-end,3,83,2.12,1.85,0.27
8ppn-flush-end,3,84,2.0,1.73,0.27
8ppn-flush-end,3,85,2.01,1.74,0.27
8ppn-flush-end,3,86,2.01,1.74,0.27
8ppn-flush-end,3,87,2.01,1.74,0.27
8ppn-flush-end,3,88,2.0,1.73,0.27
8ppn-flush-end,3,89,2.01,1.74,0.27
8ppn-flush-end,3,90,2.01,1.74,0.27
8ppn-flush-end,3,91,2.01,1.73,0.28
8ppn-flush-end,3,92,2.01,1.74,0.27
8ppn-flush-end,3,93,2.01,1.73,0.28
8ppn-flush-end,3,94,2.01,1.73,0.28
8ppn-flush-end,3,95,2.01,1.74,0.27
8ppn-flush-end,3,96,2.0,1.73,0.27
8ppn-flush-end,3,97,2.01,1.74,0.27
8ppn-flush-end,3,98,2.02,1.75,0.27
8ppn-flush-end,3,99,2.02,1.75,0.27
8ppn-flush-end,3,100,2.04,1.73,0.31
8ppn-flush-end,3,101,2.03,1.76,0.27
8ppn-flush-end,3,102,2.0,1.73,0.27
8ppn-flush-end,3,103,2.07,1.8,0.27
8ppn-flush-end,3,104,2.09,1.82,0.27
8ppn-flush-end,3,105,2.01,1.74,0.27
8ppn-flush-end,3,106,2.0,1.73,0.27
8ppn-flush-end,3,107,2.02,1.75,0.27
8ppn-flush-end,3,108,2.0,1.73,0.27
8ppn-flush-end,3,109,2.0,1.73,0.27
8ppn-flush-end,3,110,2.0,1.73,0.27
8ppn-flush-end,3,111,2.02,1.75,0.27
8ppn-flush-end,3,112,2.0,1.73,0.27
8ppn-flush-end,3,113,2.03,1.77,0.26
8ppn-flush-end,3,114,2.0,1.74,0.26
8ppn-flush-end,3,115,2.0,1.74,0.26
8ppn-flush-end,3,116,2.0,1.73,0.27
8ppn-flush-end,3,117,2.0,1.73,0.27
8ppn-flush-end,3,118,2.0,1.73,0.27
8ppn-flush-end,3,119,2.01,1.74,0.27
8ppn-flush-end,3,120,2.0,1.73,0.27
8ppn-flush-end,3,121,3.98,1.74,2.24
8ppn-flush-end,3,122,2.84,1.73,1.11
8ppn-flush-end,3,123,2.02,1.74,0.28
8ppn-flush-end,3,124,2.01,1.74,0.27
8ppn-flush-end,3,125,2.06,1.77,0.29
8ppn-flush-end,3,126,2.03,1.76,0.27
8ppn-flush-end,3,127,2.36,1.78,0.58
8ppn-flush-end,3,128,2.75,1.74,1.01
8ppn-flush-end,3,129,2.02,1.75,0.27
8ppn-flush-end,3,130,2.0,1.73,0.27
8ppn-flush-end,3,131,2.0,1.73,0.27
8ppn-flush-end,3,132,2.01,1.74,0.27
8ppn-flush-end,3,133,,,0.27
8ppn-flush-end,4,1,2.64,1.96,0.68
8ppn-flush-end,4,2,2.08,1.82,0.26
8ppn-flush-end,4,3,2.01,1.74,0.27
8ppn-flush-end,4,4,2.03,1.76,0.27
8ppn-flush-end,4,5,2.02,1.74,0.28
8ppn-flush-end,4,6,2.04,1.76,0.28
8ppn-flush-end,4,7,2.07,1.79,0.28
8ppn-flush-end,4,8,2.04,1.75,0.29
8ppn-flush-end,4,9,2.1,1.82,0.28
8ppn-flush-end,4,10,2.04,1.73,0.31
8ppn-flush-end,4,11,2.09,1.81,0.28
8ppn-flush-end,4,12,2.04,1.76,0.28
8ppn-flush-end,4,13,2.02,1.74,0.28
