Label,Step id,Step time
6 ppn,1,151.18
6 ppn,2,2.92
6 ppn,3,1.99
6 ppn,4,1.94
6 ppn,5,1.83
6 ppn,6,1.69
6 ppn,7,2.67
6 ppn,8,1.96
6 ppn,9,1.45
6 ppn,10,2.0
6 ppn,11,1.44
6 ppn,12,1.43
6 ppn,13,1.38
6 ppn,14,1.37
6 ppn,15,1.41
6 ppn,16,1.39
6 ppn,17,1.48
6 ppn,18,1.37
6 ppn,19,1.36
6 ppn,20,1.43
6 ppn,21,1.4
6 ppn,22,1.38
6 ppn,23,1.38
6 ppn,24,1.37
6 ppn,25,1.42
6 ppn,26,1.41
6 ppn,27,1.39
6 ppn,28,1.37
6 ppn,29,1.37
6 ppn,30,1.42
6 ppn,31,1.41
6 ppn,32,1.38
6 ppn,33,1.39
6 ppn,34,1.37
6 ppn,35,1.41
6 ppn,36,1.4
6 ppn,37,1.38
6 ppn,38,1.37
6 ppn,39,1.36
6 ppn,40,1.43
6 ppn,41,1.39
6 ppn,42,1.39
6 ppn,43,1.37
6 ppn,44,1.37
6 ppn,45,1.41
6 ppn,46,1.4
6 ppn,47,1.39
6 ppn,48,1.37
6 ppn,49,1.36
6 ppn,50,1.41
