Label,Step id,Step time
5 ppn,1,147.36
5 ppn,2,2.8
5 ppn,3,1.93
5 ppn,4,2.08
5 ppn,5,2.2
5 ppn,6,1.68
5 ppn,7,2.03
5 ppn,8,1.8
5 ppn,9,1.44
5 ppn,10,1.45
5 ppn,11,1.57
5 ppn,12,1.5
5 ppn,13,1.39
5 ppn,14,1.61
5 ppn,15,1.44
5 ppn,16,1.42
5 ppn,17,1.41
5 ppn,18,1.4
5 ppn,19,1.39
5 ppn,20,1.44
5 ppn,21,1.58
5 ppn,22,1.54
5 ppn,23,1.54
5 ppn,24,1.39
5 ppn,25,1.44
5 ppn,26,1.41
5 ppn,27,1.39
5 ppn,28,1.38
5 ppn,29,1.37
5 ppn,30,1.53
5 ppn,31,1.4
5 ppn,32,1.38
5 ppn,33,1.47
5 ppn,34,1.37
5 ppn,35,1.42
5 ppn,36,1.4
5 ppn,37,1.39
5 ppn,38,1.37
5 ppn,39,1.37
5 ppn,40,1.41
5 ppn,41,1.39
5 ppn,42,1.4
5 ppn,43,1.37
5 ppn,44,1.36
5 ppn,45,1.43
5 ppn,46,1.39
5 ppn,47,1.4
5 ppn,48,1.36
5 ppn,49,1.38
5 ppn,50,1.43
