Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
PFS,2,6,2.28,1.76,0.52
PFS,2,7,2.4,1.73,0.67
PFS,2,8,2.1,1.82,0.28
PFS,2,9,2.02,1.74,0.28
PFS,2,10,2.1,1.79,0.31
PFS,2,11,2.06,1.77,0.29
PFS,2,12,2.04,1.76,0.28
PFS,2,13,2.03,1.75,0.28
PFS,2,14,2.19,1.75,0.44
PFS,2,15,2.18,1.9,0.28
PFS,2,16,2.01,1.73,0.28
PFS,2,17,2.2,1.75,0.45
PFS,2,18,2.05,1.77,0.28
PFS,2,19,2.09,1.74,0.35
PFS,2,20,2.94,1.72,1.22
PFS,2,21,2.02,1.74,0.28
PFS,2,22,2.02,1.74,0.28
PFS,2,23,2.06,1.78,0.28
PFS,2,24,2.2,1.72,0.48
PFS,2,25,2.05,1.77,0.28
PFS,2,26,2.18,1.78,0.4
PFS,2,27,2.27,1.78,0.49
PFS,2,28,2.03,1.74,0.29
PFS,2,29,2.31,1.74,0.57
PFS,2,30,2.01,1.73,0.28
PFS,2,31,2.05,1.76,0.29
PFS,2,32,2.02,1.74,0.28
PFS,2,33,2.53,1.76,0.77
PFS,2,34,2.26,1.74,0.52
PFS,2,35,8.0,1.73,6.27
PFS,2,36,4.19,1.72,2.47
PFS,2,37,2.04,1.76,0.28
PFS,2,38,2.04,1.72,0.32
PFS,2,39,2.34,2.06,0.28
PFS,2,40,2.09,1.73,0.36
PFS,2,41,2.08,1.8,0.28
PFS,2,42,2.01,1.73,0.28
PFS,2,43,4.34,1.79,2.55
PFS,2,44,2.02,1.74,0.28
PFS,2,45,2.06,1.78,0.28
PFS,2,46,2.17,1.74,0.43
PFS,2,47,2.01,1.73,0.28
PFS,2,48,2.0,1.72,0.28
PFS,2,49,2.05,1.73,0.32
PFS,2,50,2.25,1.73,0.52
PFS,2,51,3.14,1.72,1.42
PFS,2,52,2.23,1.96,0.27
PFS,2,53,2.14,1.74,0.4
PFS,2,54,2.04,1.77,0.27
PFS,2,55,2.01,1.73,0.28
PFS,2,56,2.01,1.74,0.27
PFS,2,57,2.21,1.95,0.26
PFS,2,58,2.04,1.76,0.28
PFS,2,59,2.06,1.73,0.33
PFS,2,60,2.0,1.73,0.27
PFS,2,61,2.0,1.73,0.27
PFS,2,62,2.0,1.73,0.27
PFS,2,63,2.0,1.73,0.27
PFS,2,64,2.02,1.75,0.27
PFS,2,65,1.99,1.72,0.27
PFS,2,66,2.74,1.85,0.89
PFS,2,67,2.01,1.74,0.27
PFS,2,68,2.39,1.76,0.63
PFS,2,69,2.03,1.75,0.28
PFS,2,70,2.0,1.73,0.27
PFS,2,71,2.08,1.81,0.27
PFS,2,72,2.08,1.73,0.35
PFS,2,73,2.02,1.75,0.27
PFS,2,74,2.02,1.75,0.27
PFS,2,75,2.02,1.75,0.27
PFS,2,76,2.03,1.77,0.26
PFS,2,77,2.2,1.94,0.26
PFS,2,78,2.0,1.73,0.27
PFS,2,79,2.05,1.72,0.33
PFS,2,80,2.0,1.73,0.27
PFS,2,81,2.15,1.72,0.43
PFS,2,82,1.99,1.72,0.27
PFS,2,83,2.07,1.81,0.26
PFS,2,84,2.04,1.78,0.26
PFS,2,85,2.09,1.74,0.35
PFS,2,86,2.0,1.73,0.27
PFS,2,87,1.99,1.73,0.26
PFS,2,88,1.99,1.73,0.26
PFS,2,89,2.0,1.74,0.26
PFS,2,90,2.0,1.74,0.26
PFS,2,91,2.03,1.76,0.27
PFS,2,92,2.15,1.76,0.39
PFS,2,93,2.15,1.89,0.26
PFS,2,94,2.02,1.74,0.28
PFS,2,95,2.01,1.75,0.26
PFS,2,96,2.08,1.82,0.26
PFS,2,97,2.06,1.8,0.26
PFS,2,98,2.42,1.73,0.69
PFS,2,99,1.99,1.73,0.26
PFS,2,100,2.04,1.75,0.29
PFS,2,101,3.74,1.73,2.01
PFS,2,102,1.99,1.73,0.26
PFS,2,103,2.0,1.74,0.26
