Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
1ppn-all-1sec,1,103,2.01,1.74,0.27
1ppn-all-1sec,1,104,2.11,1.76,0.35
1ppn-all-1sec,1,105,2.15,1.73,0.42
1ppn-all-1sec,1,106,2.15,1.74,0.41
1ppn-all-1sec,1,107,2.18,1.72,0.46
1ppn-all-1sec,1,108,2.16,1.73,0.43
1ppn-all-1sec,1,109,2.05,1.73,0.32
1ppn-all-1sec,1,110,2.05,1.72,0.33
1ppn-all-1sec,1,111,2.06,1.74,0.32
1ppn-all-1sec,1,112,2.15,1.74,0.41
1ppn-all-1sec,1,113,2.06,1.73,0.33
1ppn-all-1sec,1,114,2.06,1.75,0.31
1ppn-all-1sec,1,115,2.05,1.73,0.32
1ppn-all-1sec,1,116,2.05,1.72,0.33
1ppn-all-1sec,1,117,2.05,1.73,0.32
1ppn-all-1sec,1,118,2.07,1.73,0.34
1ppn-all-1sec,1,119,2.09,1.76,0.33
1ppn-all-1sec,1,120,2.16,1.78,0.38
1ppn-all-1sec,1,121,2.05,1.72,0.33
1ppn-all-1sec,1,122,2.03,1.72,0.31
1ppn-all-1sec,1,123,2.05,1.74,0.31
1ppn-all-1sec,1,124,2.06,1.78,0.28
1ppn-all-1sec,1,125,2.13,1.78,0.35
1ppn-all-1sec,1,126,2.1,1.77,0.33
1ppn-all-1sec,1,127,2.09,1.73,0.36
1ppn-all-1sec,1,128,2.19,1.76,0.43
1ppn-all-1sec,1,129,2.15,1.73,0.42
1ppn-all-1sec,1,130,2.06,1.73,0.33
1ppn-all-1sec,1,131,2.38,1.75,0.63
1ppn-all-1sec,1,132,2.14,1.73,0.41
1ppn-all-1sec,1,133,,,0.34
1ppn-all-1sec,2,1,2.62,1.94,0.68
1ppn-all-1sec,2,2,2.02,1.74,0.28
1ppn-all-1sec,2,3,2.06,1.74,0.32
1ppn-all-1sec,2,4,2.07,1.73,0.34
1ppn-all-1sec,2,5,2.14,1.82,0.32
1ppn-all-1sec,2,6,2.13,1.83,0.3
1ppn-all-1sec,2,7,2.1,1.78,0.32
1ppn-all-1sec,2,8,2.07,1.74,0.33
1ppn-all-1sec,2,9,2.14,1.76,0.38
1ppn-all-1sec,2,10,2.06,1.75,0.31
