Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
no-io,2,22,1.74,1.74,0
no-io,2,23,1.75,1.75,0
no-io,2,24,1.77,1.77,0
no-io,2,25,1.74,1.74,0
no-io,2,26,1.76,1.76,0
no-io,2,27,1.84,1.84,0
no-io,2,28,1.78,1.78,0
no-io,2,29,1.73,1.73,0
no-io,2,30,1.74,1.74,0
no-io,2,31,1.75,1.75,0
no-io,2,32,1.79,1.79,0
no-io,2,33,1.75,1.75,0
no-io,2,34,1.73,1.73,0
no-io,2,35,1.73,1.73,0
no-io,2,36,1.75,1.75,0
no-io,2,37,1.83,1.83,0
no-io,2,38,1.82,1.82,0
no-io,2,39,1.73,1.73,0
no-io,2,40,1.79,1.79,0
no-io,2,41,1.76,1.76,0
no-io,2,42,1.75,1.75,0
no-io,2,43,1.74,1.74,0
no-io,2,44,1.74,1.74,0
no-io,2,45,1.77,1.77,0
no-io,2,46,1.74,1.74,0
no-io,2,47,1.73,1.73,0
no-io,2,48,1.8,1.8,0
no-io,2,49,1.8,1.8,0
no-io,2,50,1.81,1.81,0
no-io,2,51,1.74,1.74,0
no-io,2,52,1.73,1.73,0
no-io,2,53,1.74,1.74,0
no-io,2,54,1.78,1.78,0
no-io,2,55,1.74,1.74,0
no-io,2,56,1.75,1.75,0
no-io,2,57,1.77,1.77,0
no-io,2,58,1.78,1.78,0
no-io,2,59,1.73,1.73,0
no-io,2,60,1.74,1.74,0
no-io,2,61,1.73,1.73,0
no-io,2,62,1.77,1.77,0
no-io,2,63,1.78,1.78,0
no-io,2,64,1.78,1.78,0
no-io,2,65,1.76,1.76,0
no-io,2,66,1.81,1.81,0
no-io,2,67,1.74,1.74,0
no-io,2,68,1.74,1.74,0
no-io,2,69,1.73,1.73,0
no-io,2,70,1.73,1.73,0
no-io,2,71,1.8,1.8,0
no-io,2,72,1.74,1.74,0
no-io,2,73,1.73,1.73,0
no-io,2,74,1.77,1.77,0
no-io,2,75,1.78,1.78,0
no-io,2,76,1.73,1.73,0
no-io,2,77,1.73,1.73,0
no-io,2,78,1.73,1.73,0
no-io,2,79,1.81,1.81,0
no-io,2,80,1.8,1.8,0
no-io,2,81,1.74,1.74,0
no-io,2,82,1.77,1.77,0
no-io,2,83,1.79,1.79,0
no-io,2,84,1.74,1.74,0
no-io,2,85,1.73,1.73,0
no-io,2,86,1.74,1.74,0
no-io,2,87,1.74,1.74,0
no-io,2,88,1.78,1.78,0
no-io,2,89,1.73,1.73,0
no-io,2,90,1.74,1.74,0
no-io,2,91,1.76,1.76,0
no-io,2,92,1.79,1.79,0
no-io,2,93,1.74,1.74,0
no-io,2,94,1.73,1.73,0
no-io,2,95,1.74,1.74,0
no-io,2,96,1.8,1.8,0
no-io,2,97,1.82,1.82,0
no-io,2,98,1.75,1.75,0
no-io,2,99,1.76,1.76,0
no-io,2,100,1.81,1.81,0
no-io,2,101,1.75,1.75,0
no-io,2,102,1.74,1.74,0
no-io,2,103,1.73,1.73,0
no-io,2,104,1.73,1.73,0
no-io,2,105,1.78,1.78,0
no-io,2,106,1.75,1.75,0
no-io,2,107,1.74,1.74,0
no-io,2,108,1.75,1.75,0
no-io,2,109,1.8,1.8,0
no-io,2,110,1.73,1.73,0
no-io,2,111,1.73,1.73,0
no-io,2,112,1.74,1.74,0
no-io,2,113,1.8,1.8,0
no-io,2,114,1.83,1.83,0
no-io,2,115,1.74,1.74,0
no-io,2,116,1.75,1.75,0
no-io,2,117,1.81,1.81,0
no-io,2,118,1.75,1.75,0
no-io,2,119,1.73,1.73,0
no-io,2,120,1.74,1.74,0
no-io,2,121,1.74,1.74,0
no-io,2,122,1.79,1.79,0
no-io,2,123,1.74,1.74,0
no-io,2,124,1.74,1.74,0
no-io,2,125,1.76,1.76,0
no-io,2,126,1.8,1.8,0
no-io,2,127,1.74,1.74,0
no-io,2,128,1.73,1.73,0
no-io,2,129,1.74,1.74,0
no-io,2,130,1.8,1.8,0
no-io,2,131,1.82,1.82,0
no-io,2,132,1.74,1.74,0
no-io,2,133,,0.0,0
no-io,3,1,2.07,2.07,0
no-io,3,2,1.74,1.74,0
no-io,3,3,1.76,1.76,0
no-io,3,4,1.75,1.75,0
no-io,3,5,1.74,1.74,0
no-io,3,6,1.88,1.88,0
no-io,3,7,1.78,1.78,0
no-io,3,8,1.75,1.75,0
no-io,3,9,1.75,1.75,0
no-io,3,10,1.76,1.76,0
no-io,3,11,1.8,1.8,0
no-io,3,12,1.81,1.81,0
no-io,3,13,1.73,1.73,0
no-io,3,14,1.73,1.73,0
no-io,3,15,1.75,1.75,0
no-io,3,16,1.73,1.73,0
no-io,3,17,1.77,1.77,0
no-io,3,18,1.94,1.94,0
no-io,3,19,1.74,1.74,0
no-io,3,20,1.76,1.76,0
no-io,3,21,1.73,1.73,0
no-io,3,22,1.74,1.74,0
no-io,3,23,1.74,1.74,0
no-io,3,24,1.73,1.73,0
no-io,3,25,1.74,1.74,0
no-io,3,26,1.85,1.85,0
no-io,3,27,1.77,1.77,0
no-io,3,28,1.73,1.73,0
no-io,3,29,1.74,1.74,0
no-io,3,30,1.73,1.73,0
no-io,3,31,1.75,1.75,0
no-io,3,32,1.74,1.74,0
no-io,3,33,1.73,1.73,0
no-io,3,34,1.73,1.73,0
no-io,3,35,1.82,1.82,0
no-io,3,36,1.86,1.86,0
no-io,3,37,1.74,1.74,0
no-io,3,38,1.73,1.73,0
no-io,3,39,1.74,1.74,0
no-io,3,40,1.74,1.74,0
no-io,3,41,1.74,1.74,0
no-io,3,42,1.74,1.74,0
no-io,3,43,1.8,1.8,0
no-io,3,44,1.77,1.77,0
no-io,3,45,1.74,1.74,0
no-io,3,46,1.73,1.73,0
no-io,3,47,1.73,1.73,0
no-io,3,48,1.85,1.85,0
no-io,3,49,1.75,1.75,0
no-io,3,50,1.73,1.73,0
no-io,3,51,1.75,1.75,0
no-io,3,52,1.79,1.79,0
no-io,3,53,1.74,1.74,0
no-io,3,54,1.74,1.74,0
no-io,3,55,1.73,1.73,0
no-io,3,56,1.74,1.74,0
no-io,3,57,1.74,1.74,0
no-io,3,58,1.74,1.74,0
no-io,3,59,1.73,1.73,0
no-io,3,60,1.77,1.77,0
no-io,3,61,1.78,1.78,0
no-io,3,62,1.85,1.85,0
no-io,3,63,1.73,1.73,0
no-io,3,64,1.74,1.74,0
no-io,3,65,1.75,1.75,0
no-io,3,66,1.73,1.73,0
no-io,3,67,1.74,1.74,0
no-io,3,68,1.73,1.73,0
no-io,3,69,1.82,1.82,0
no-io,3,70,1.74,1.74,0
no-io,3,71,1.74,1.74,0
no-io,3,72,1.73,1.73,0
no-io,3,73,1.74,1.74,0
no-io,3,74,1.74,1.74,0
no-io,3,75,1.74,1.74,0
no-io,3,76,1.73,1.73,0
no-io,3,77,1.75,1.75,0
no-io,3,78,1.89,1.89,0
no-io,3,79,1.74,1.74,0
no-io,3,80,1.73,1.73,0
no-io,3,81,1.74,1.74,0
no-io,3,82,1.75,1.75,0
no-io,3,83,1.74,1.74,0
no-io,3,84,1.74,1.74,0
no-io,3,85,1.74,1.74,0
no-io,3,86,1.8,1.8,0
no-io,3,87,1.76,1.76,0
no-io,3,88,1.73,1.73,0
no-io,3,89,1.74,1.74,0
no-io,3,90,1.74,1.74,0
no-io,3,91,1.73,1.73,0
no-io,3,92,1.74,1.74,0
no-io,3,93,1.73,1.73,0
no-io,3,94,1.74,1.74,0
no-io,3,95,1.91,1.91,0
no-io,3,96,1.74,1.74,0
no-io,3,97,1.73,1.73,0
no-io,3,98,1.74,1.74,0
no-io,3,99,1.76,1.76,0
no-io,3,100,1.74,1.74,0
no-io,3,101,1.73,1.73,0
no-io,3,102,1.73,1.73,0
no-io,3,103,1.79,1.79,0
no-io,3,104,1.76,1.76,0
no-io,3,105,1.73,1.73,0
no-io,3,106,1.74,1.74,0
no-io,3,107,1.74,1.74,0
no-io,3,108,1.73,1.73,0
no-io,3,109,1.74,1.74,0
no-io,3,110,1.74,1.74,0
no-io,3,111,1.73,1.73,0
no-io,3,112,1.9,1.9,0
no-io,3,113,1.76,1.76,0
no-io,3,114,1.73,1.73,0
no-io,3,115,1.74,1.74,0
no-io,3,116,1.76,1.76,0
no-io,3,117,1.73,1.73,0
no-io,3,118,1.74,1.74,0
no-io,3,119,1.73,1.73,0
no-io,3,120,1.79,1.79,0
no-io,3,121,1.77,1.77,0
no-io,3,122,1.73,1.73,0
no-io,3,123,1.73,1.73,0
no-io,3,124,1.73,1.73,0
no-io,3,125,1.75,1.75,0
no-io,3,126,1.74,1.74,0
